TimeStamp		 Channel 00	 Channel 01
00:00:00.5685944	 ,2.0327  V	,1.9249  V	
00:00:00.5687315	 ,4.7665  V	,4.2098  V	
00:00:00.5688637	 ,2.0220  V	,1.9109  V	
00:00:00.5690329	 ,4.8214  V	,4.2483  V	
00:00:00.5691745	 ,2.0284  V	,1.9152  V	
00:00:00.5693502	 ,4.7015  V	,4.2162  V	
00:00:00.5695296	 ,2.0247  V	,1.9130  V	
00:00:00.5696581	 ,4.7723  V	,4.2132  V	
00:00:00.5697571	 ,2.0284  V	,1.9191  V	
00:00:00.5698675	 ,4.9017  V	,4.2843  V	
00:00:00.5699648	 ,2.0183  V	,1.9188  V	
00:00:00.5700547	 ,4.7582  V	,4.2617  V	
00:00:00.5701746	 ,2.0378  V	,1.9219  V	
00:00:00.6407165	 ,4.6828  V	,4.2025  V	
00:00:00.6409061	 ,2.0385  V	,1.9249  V	
00:00:00.6410773	 ,4.8095  V	,4.2333  V	
00:00:00.6412448	 ,2.0412  V	,1.9289  V	
00:00:00.6414263	 ,4.7851  V	,4.2449  V	
00:00:00.6416135	 ,2.0452  V	,1.9286  V	
00:00:00.6418151	 ,4.6972  V	,4.2031  V	
00:00:00.6419436	 ,2.0165  V	,1.9173  V	
00:00:00.6420717	 ,4.8324  V	,4.2428  V	
00:00:00.6421985	 ,2.0394  V	,1.9286  V	
00:00:00.6423275	 ,4.8742  V	,4.2901  V	
00:00:00.6424584	 ,2.0586  V	,1.9393  V	
00:00:00.6425845	 ,4.6999  V	,4.2333  V	
00:00:00.6426982	 ,2.0446  V	,1.9365  V	
00:00:00.6428324	 ,4.7216  V	,4.2016  V	
00:00:00.6429819	 ,2.0418  V	,1.9332  V	
00:00:00.6431067	 ,4.8376  V	,4.2458  V	
00:00:00.6432315	 ,2.0543  V	,1.9466  V	
00:00:00.6433793	 ,4.7405  V	,4.2345  V	
00:00:00.6435094	 ,2.0354  V	,1.9307  V	
00:00:00.6436449	 ,4.7198  V	,4.2077  V	
00:00:00.6437820	 ,2.0317  V	,1.9246  V	
00:00:00.6439138	 ,4.8779  V	,4.2666  V	
00:00:00.6440776	 ,2.0345  V	,1.9277  V	
00:00:00.6442431	 ,4.8205  V	,4.2782  V	
00:00:00.6443909	 ,2.0153  V	,1.9115  V	
00:00:00.6444910	 ,4.6715  V	,4.2080  V	
00:00:00.6445912	 ,2.0412  V	,1.9225  V	
00:00:00.6446791	 ,4.7707  V	,4.2119  V	
00:00:00.6447924	 ,2.0281  V	,1.9255  V	
00:00:00.6448950	 ,4.8251  V	,4.2531  V	
